"Area","Feature","AlloFlowImplementation","Source","Evidence","MagicSchool","Brisk","Diffit","Curipod","Eduaide","SchoolAI","Khanmigo","ComparableCompetitors","StackUp","Notes"
"3.15 Student-Facing Modes & Simplified Experiences","Parent / Family Mode","Caregiver-friendly UI: simplified adventure, family glossary, celebration-focused progress, suggested prompts","FEATURE_INVENTORY.md","Role Selection â†’ Parent","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.15 Student-Facing Modes & Simplified Experiences","Zen Mode","Distraction-free reading mode (hides header)","FEATURE_INVENTORY.md","Header â†’ Zen toggle","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.17 Games Bundle (17 interactive game components)","MemoryGame","","FEATURE_INVENTORY.md","Match-pairs flip card game","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.17 Games Bundle (17 interactive game components)","MatchingGame","","FEATURE_INVENTORY.md","Drag-to-match pairs (terms â†” definitions, etc.)","Full/dedicated comparable","Full/dedicated comparable","Full/dedicated comparable","Full/dedicated comparable","Strong comparable","Partial via Spaces/Mission Control","Partial/full teacher assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Full/dedicated comparable); Diffit (Full/dedicated comparable); Curipod (Full/dedicated comparable); Eduaide (Strong comparable); SchoolAI (Partial via Spaces/Mission Control); Khanmigo (Partial/full teacher assistant comparable)","Crowded category; AlloFlow ahead only when live aggregation, UDL, and remediation are counted","Assessment generation is common; AlloFlow stacks more modes plus AI grading/live aggregation but competitors can be slicker in narrow workflows."
"3.17 Games Bundle (17 interactive game components)","TimelineGame","","FEATURE_INVENTORY.md","Drag events into chronological order","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.17 Games Bundle (17 interactive game components)","ConceptSortGame","","FEATURE_INVENTORY.md","Drag concepts into categories (also rendered standalone via Concept Sort tool)","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.17 Games Bundle (17 interactive game components)","VennGame","","FEATURE_INVENTORY.md","Drag items into Venn diagram intersections","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.17 Games Bundle (17 interactive game components)","CauseEffectSortGame","","FEATURE_INVENTORY.md","Pair causes with effects","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.17 Games Bundle (17 interactive game components)","PipelineBuilderGame","","FEATURE_INVENTORY.md","Sequence steps in a process pipeline","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.17 Games Bundle (17 interactive game components)","CrosswordGame","","FEATURE_INVENTORY.md","Crossword puzzle from glossary terms","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.17 Games Bundle (17 interactive game components)","SyntaxScramble","","FEATURE_INVENTORY.md","Sentence-fragment unscramble","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.17 Games Bundle (17 interactive game components)","BingoGame","","FEATURE_INVENTORY.md","Teacher-facing bingo with content cells","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.17 Games Bundle (17 interactive game components)","StudentBingoGame","","FEATURE_INVENTORY.md","Student-facing bingo (during live session)","Partial comparable","Partial class-insight/feedback comparable","No public dedicated comparable found","Strong comparable","No public dedicated comparable found","Strong comparable","Partial district/classroom comparable","MagicSchool (Partial comparable); Brisk (Partial class-insight/feedback comparable); Curipod (Strong comparable); SchoolAI (Strong comparable); Khanmigo (Partial district/classroom comparable)","Competitors stronger on focused live-class polish and adoption proof","Curipod and SchoolAI are likely stronger in their live-class lanes; AlloFlow wins when live sessions connect to the larger UDL/STEM/SEL suite."
"3.17 Games Bundle (17 interactive game components)","WordScrambleGame","","FEATURE_INVENTORY.md","Letter unscramble from word bank","Full/dedicated comparable","Strong comparable","Strong comparable","Partial/narrower comparable","Full/dedicated comparable","Partial via personalized Spaces","Partial tutoring comparable","MagicSchool (Full/dedicated comparable); Brisk (Strong comparable); Diffit (Strong comparable); Curipod (Partial/narrower comparable); Eduaide (Full/dedicated comparable); SchoolAI (Partial via personalized Spaces); Khanmigo (Partial tutoring comparable)","Mixed; Diffit/Brisk are narrower and faster, AlloFlow is broader","Diffit and Brisk are very strong on quick leveling/export workflows; AlloFlow adds deeper accessibility controls, multilingual UI, and cross-tool integration."
"3.17 Games Bundle (17 interactive game components)","TChartSortGame","","FEATURE_INVENTORY.md","Drag items into T-chart columns","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.17 Games Bundle (17 interactive game components)","ConceptMapSortGame","","FEATURE_INVENTORY.md","Drag items into concept-map nodes","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.17 Games Bundle (17 interactive game components)","OutlineSortGame","","FEATURE_INVENTORY.md","Drag items into outline structure","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.17 Games Bundle (17 interactive game components)","FishboneSortGame","","FEATURE_INVENTORY.md","Drag items into fishbone diagram causes","Full/dedicated comparable","Partial/full comparable","Full/dedicated comparable","Partial comparable","Strong comparable","Generic/Space-based comparable","Generic assistant comparable","MagicSchool (Full/dedicated comparable); Brisk (Partial/full comparable); Diffit (Full/dedicated comparable); Curipod (Partial comparable); Eduaide (Strong comparable); SchoolAI (Generic/Space-based comparable); Khanmigo (Generic assistant comparable)","Comparable; AlloFlow advantage is interactive/export-side integration","Eduaide and Diffit are strong here; AlloFlow adds interactive organizers and export/runtime accessibility context."
"3.17 Games Bundle (17 interactive game components)","ProblemSolutionSortGame","","FEATURE_INVENTORY.md","Pair problems with solutions","Partial comparable via activities","Generic material generation only","Partial resource comparable","Partial live activity comparable","Full/dedicated instructional-games comparable","Partial via Spaces","Generic tutor comparable","MagicSchool (Partial comparable via activities); Brisk (Generic material generation only); Diffit (Partial resource comparable); Curipod (Partial live activity comparable); Eduaide (Full/dedicated instructional-games comparable); SchoolAI (Partial via Spaces); Khanmigo (Generic tutor comparable)","AlloFlow ahead on integrated game variety; Eduaide has a clearer public instructional-games lane","Eduaide explicitly advertises instructional games; AlloFlow has more embedded game mechanics tied to generated content and STEM/SEL surfaces."
"3.20 Server-side Firebase Functions (12 endpoints)","searchProxy","","FEATURE_INVENTORY.md","Backend proxy for Web Search Grounding (fact-checking AI claims against Google Search) â€” keeps API keys server-side","Partial SaaS comparable","Partial SaaS/browser comparable","Partial SaaS/export comparable","Partial SaaS comparable","Partial SaaS comparable","Strong trust/safety comparable","Strong ecosystem comparable","MagicSchool (Partial SaaS comparable); Brisk (Partial SaaS/browser comparable); Diffit (Partial SaaS/export comparable); Curipod (Partial SaaS comparable); Eduaide (Partial SaaS comparable); SchoolAI (Strong trust/safety comparable); Khanmigo (Strong ecosystem comparable)","AlloFlow ahead on local-first/provider flexibility; competitors ahead on managed SaaS operations","AlloFlow exposes unusual local/offline/provider controls; paid SaaS competitors are stronger in managed reliability and procurement trust."
"3.20 Server-side Firebase Functions (12 endpoints)","ltiLogin","","FEATURE_INVENTORY.md","LTI 1.3 OIDC login initiation â€” first step of the LMS launch flow","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","ltiLaunch","","FEATURE_INVENTORY.md","LTI 1.3 launch handler â€” receives signed launch from Canvas/Schoology/Brightspace/Moodle, creates session, redirects to AlloFlow with context","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","ltiSession","","FEATURE_INVENTORY.md","Session validation + role/context retrieval for LTI users","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","logRemediation","","FEATURE_INVENTORY.md","Logs PDF audit + remediation actions to backend (audit trail for compliance)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.20 Server-side Firebase Functions (12 endpoints)","dashboardData","","FEATURE_INVENTORY.md","Aggregated analytics endpoint for Educator Hub dashboards (cross-student data)","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","No public dedicated comparable found","None public among reviewed competitors","AlloFlow materially ahead or unique","No reviewed competitor publicly describes a dedicated equivalent; generic AI prompting may approximate pieces."
"3.20 Server-side Firebase Functions (12 endpoints)","lmsAuth","","FEATURE_INVENTORY.md","LMS authentication endpoint (separate from LTI for direct API integrations)","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","lmsScan","","FEATURE_INVENTORY.md","Scheduled cron â€” automatic recurring scan of an LMS for new content to audit","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","triggerLmsScan","","FEATURE_INVENTORY.md","Manual trigger for the LMS scan (teacher-initiated)","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","scanResults","","FEATURE_INVENTORY.md","Returns results of LMS scans (queued documents from Bookmarklet Audit Queue + scheduled scans)","Strong comparable","Strong comparable/browser workflow","Strong export/workflow comparable","Partial comparable","Export comparable","Strong comparable","District/classroom comparable","MagicSchool (Strong comparable); Brisk (Strong comparable/browser workflow); Diffit (Strong export/workflow comparable); Curipod (Partial comparable); Eduaide (Export comparable); SchoolAI (Strong comparable); Khanmigo (District/classroom comparable)","Competitors stronger on mature integration/procurement story","AlloFlow has unusually broad self-host/LTI ambition, but commercial vendors currently have clearer public integration and district-rollout materials."
"3.20 Server-side Firebase Functions (12 endpoints)","accessible","","FEATURE_INVENTORY.md","Public accessibility-audit endpoint (likely powers an embeddable a11y badge / shareable audit link)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.20 Server-side Firebase Functions (12 endpoints)","storeRemediated","","FEATURE_INVENTORY.md","Stores remediated PDF/HTML output back to a persistent location (cloud storage hook)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Batch Mode Toggle","Pre-audit","FEATURE_INVENTORY.md","Switch between Single PDF / Batch / Web-Mode","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Quick Downloads (pre-remediation)","Pre-audit","FEATURE_INVENTORY.md","Original-PDF download access before any work","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Knowbility Partner Introduction","During audit wait","FEATURE_INVENTORY.md","Educational content about Knowbility (a11y nonprofit partner)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Why Accessibility Matters","During audit wait","FEATURE_INVENTORY.md","Educational content about WCAG impact (shown twice in flow â€” intro + post-benefits)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Multi-session Page-Range Remediation Panel","Long jobs","FEATURE_INVENTORY.md","Resume large-document remediation across browser sessions","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Pipeline Step Tracker (basic)","During processing","FEATURE_INVENTORY.md","Real-time progress of audit stages","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Pipeline Step Tracker with contextual explanation","During processing","FEATURE_INVENTORY.md","Step tracker + paragraph explaining what each stage does","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Boring Palette Theme Suggestion","Mid-flow","FEATURE_INVENTORY.md","Detects monochrome originals; suggests color theme to add","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Live Chunk Review (inline)","During processing","FEATURE_INVENTORY.md","Per-chunk review surfaced immediately as chunks complete","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","ADA Title II Legal Context","During wait (timed)","FEATURE_INVENTORY.md","Explains Title II compliance requirements for school districts","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Image Review + Metadata Panel","During processing","FEATURE_INVENTORY.md","Review extracted images, set alt-text, decorative flags","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Fidelity Verification Panel","Mid-flow","FEATURE_INVENTORY.md","Compares remediated against original for content drift","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Knowbility Partner Panel","During wait","FEATURE_INVENTORY.md","Detailed Knowbility consultation offering","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Resume Remediation Prompt","Reload-recovery","FEATURE_INVENTORY.md","Detected interrupted audit; offer to resume","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Live Chunk Review Panel (full)","Per-chunk review","FEATURE_INVENTORY.md","Approve/reject/request-fix per chunk with comments","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Fix & Verify Results Panel","Post-remediation","FEATURE_INVENTORY.md","Side-by-side score comparison (before/after)","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
"3.18 PDF Audit Modal â€” internal sub-features (22 distinct panels)","Chunk Map (with selective re-fix)","Post-remediation","FEATURE_INVENTORY.md","Per-section accessibility scores; re-run fix on specific sections","No public dedicated comparable found","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","Export-only partial comparable","No public dedicated comparable found","No public dedicated comparable found","Diffit (Export-only partial comparable); Eduaide (Export-only partial comparable)","AlloFlow clearly ahead/unique among reviewed competitors","This is a major moat: accessibility is a product surface, not just a compliance statement."
